species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
adelie,torgersen,41.4,18.5,202.0,3875.0,male
adelie,dream,37.5,18.5,199.0,4475.0,male
adelie,torgersen,,,,,
adelie,torgersen,42.5,20.7,197.0,4500.0,male
chinstrap,dream,50.1,17.9,190.0,3400.0,female
chinstrap,dream,50.3,20.0,197.0,3300.0,male
chinstrap,dream,52.7,19.8,197.0,3725.0,male
chinstrap,dream,51.3,19.9,198.0,3700.0,male
chinstrap,dream,46.4,17.8,191.0,3700.0,female
chinstrap,dream,46.2,17.5,187.0,3650.0,female
chinstrap,dream,50.2,18.8,202.0,3800.0,male
chinstrap,dream,45.2,17.8,198.0,3950.0,female
chinstrap,dream,46.8,16.5,189.0,3650.0,female
chinstrap,dream,47.0,17.3,185.0,3700.0,female
chinstrap,dream,52.0,19.0,197.0,4150.0,male
chinstrap,dream,49.6,18.2,193.0,3775.0,male
chinstrap,dream,49.0,19.6,212.0,4300.0,male
chinstrap,dream,46.5,17.9,192.0,3500.0,female
chinstrap,dream,42.5,17.3,187.0,3350.0,female
chinstrap,dream,52.2,18.8,197.0,3450.0,male
chinstrap,dream,49.8,17.3,198.0,3675.0,female
chinstrap,dream,51.3,18.2,197.0,3750.0,male
chinstrap,dream,50.9,19.1,196.0,3550.0,male
chinstrap,dream,54.2,20.8,201.0,4300.0,male
chinstrap,dream,47.6,18.3,195.0,3850.0,female
chinstrap,dream,49.2,18.2,195.0,4400.0,male
chinstrap,dream,50.8,18.5,201.0,4450.0,male
chinstrap,dream,51.0,18.8,203.0,4100.0,male
chinstrap,dream,51.5,18.7,187.0,3250.0,male
chinstrap,dream,40.9,16.6,187.0,3200.0,female
chinstrap,dream,52.0,18.1,201.0,4050.0,male
chinstrap,dream,55.8,19.8,207.0,4000.0,male
chinstrap,dream,49.0,19.5,210.0,3950.0,male
chinstrap,dream,45.4,18.7,188.0,3525.0,female
gentoo,biscoe,46.2,14.5,209.0,4800.0,female
gentoo,biscoe,45.3,13.7,210.0,4300.0,female
gentoo,biscoe,42.6,13.7,213.0,4950.0,female
gentoo,biscoe,47.5,14.2,209.0,4600.0,female
gentoo,biscoe,50.1,15.0,225.0,5000.0,male
gentoo,biscoe,47.5,15.0,218.0,4950.0,female
gentoo,biscoe,43.8,13.9,208.0,4300.0,female
gentoo,biscoe,45.2,14.8,212.0,5200.0,female
gentoo,biscoe,50.4,15.7,222.0,5750.0,male
gentoo,biscoe,47.6,14.5,215.0,5400.0,male
gentoo,biscoe,47.8,15.0,215.0,5650.0,male
gentoo,biscoe,55.9,17.0,228.0,5600.0,male
gentoo,biscoe,50.5,15.9,222.0,5550.0,male
gentoo,biscoe,50.8,15.7,226.0,5200.0,male
gentoo,biscoe,48.7,15.1,222.0,5350.0,male
