species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
adelie,torgersen,41.4,18.5,202.0,3875.0,male
adelie,dream,37.5,18.5,199.0,4475.0,male
adelie,torgersen,,,,,
adelie,torgersen,42.5,20.7,197.0,4500.0,male
adelie,dream,37.6,19.3,181.0,3300.0,female
adelie,torgersen,39.6,17.2,196.0,3550.0,female
adelie,dream,36.8,18.5,193.0,3500.0,female
adelie,torgersen,38.9,17.8,181.0,3625.0,female
adelie,dream,40.6,17.2,187.0,3475.0,male
adelie,biscoe,35.0,17.9,192.0,3725.0,female
adelie,torgersen,40.3,18.0,195.0,3250.0,female
adelie,biscoe,41.1,18.2,192.0,4050.0,male
adelie,biscoe,34.5,18.1,187.0,2900.0,female
adelie,biscoe,38.2,20.0,190.0,3900.0,male
adelie,biscoe,39.6,17.7,186.0,3500.0,female
adelie,torgersen,41.1,18.6,189.0,3325.0,male
adelie,dream,41.1,19.0,182.0,3425.0,male
adelie,torgersen,36.2,17.2,187.0,3150.0,female
adelie,biscoe,41.3,21.1,195.0,4400.0,male
adelie,dream,37.8,18.1,193.0,3750.0,male
adelie,torgersen,42.1,19.1,195.0,4000.0,male
adelie,biscoe,37.6,19.1,194.0,3750.0,male
adelie,dream,41.1,18.1,205.0,4300.0,male
adelie,dream,40.8,18.4,195.0,3900.0,male
adelie,biscoe,36.5,16.6,181.0,2850.0,female
adelie,dream,35.7,18.0,202.0,3550.0,female
adelie,dream,36.0,17.9,190.0,3450.0,female
chinstrap,dream,50.1,17.9,190.0,3400.0,female
chinstrap,dream,50.3,20.0,197.0,3300.0,male
chinstrap,dream,52.7,19.8,197.0,3725.0,male
chinstrap,dream,51.3,19.9,198.0,3700.0,male
chinstrap,dream,46.4,17.8,191.0,3700.0,female
chinstrap,dream,46.2,17.5,187.0,3650.0,female
chinstrap,dream,50.2,18.8,202.0,3800.0,male
chinstrap,dream,45.2,17.8,198.0,3950.0,female
chinstrap,dream,46.8,16.5,189.0,3650.0,female
chinstrap,dream,47.0,17.3,185.0,3700.0,female
chinstrap,dream,52.0,19.0,197.0,4150.0,male
chinstrap,dream,49.6,18.2,193.0,3775.0,male
chinstrap,dream,49.0,19.6,212.0,4300.0,male
chinstrap,dream,46.5,17.9,192.0,3500.0,female
chinstrap,dream,42.5,17.3,187.0,3350.0,female
gentoo,biscoe,46.2,14.5,209.0,4800.0,female
gentoo,biscoe,45.3,13.7,210.0,4300.0,female
gentoo,biscoe,42.6,13.7,213.0,4950.0,female
gentoo,biscoe,47.5,14.2,209.0,4600.0,female
gentoo,biscoe,50.1,15.0,225.0,5000.0,male
gentoo,biscoe,47.5,15.0,218.0,4950.0,female
gentoo,biscoe,43.8,13.9,208.0,4300.0,female
